uid,Main Heading,Sub-Heading,Sub-Sub-Heading,Comments,Drug Name,Urinary Excretion (%),Half-Life (hr),Protein Binding (%),Volume of Distribution (L/kg),Clearance (L/hr),Clearance Slope (do not display),Clearance Intercept (do not display),Dose of Normal Renal Function,2nd Dose ,Adjustment (Dose/Interval),Stage 1 (>89),Stage 2 (60-89),Stage 3 (30-59),Stage 4 (15-29),Stage 5 (<15),Intermitent HD,Peritoneal Dialysis,Continous Renal Replacement,References,Toxicity
85,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Calcium-Channel Blockers," Headache, edema, flushing, dizziness.",Felodipine,<1,10-14/21-24,99,9-10,,,,5 mg q24h ,Second Dose: 2.5-10 mg q24h,,5 mg q24h ,100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [D]","CRRT: Dose for GFR 10-50,titrate, [D]","Blychert E. Felodipine pharmacokinetics and plasma concentration vs effect relationships. Blood Press Suppl. 1992; 2: 1-30. [PMID: 1343111] / Blychert E, Edgar B, Elmfeldt D, Hedner T. A population study of the pharmacokinetics of felodipine. Br J Clin Pharmacol. 1991; 31: 15-24. [PMID: 2015166] / Buur T, Larsson R, Reg&#229; rdh CG, Aberg J. Pharmacokinetics of felodipine in chronic hemodialysis patients. J Clin Pharmacol. 1991; 31: 709-13. [PMID: 1880229] / Todd PA, Faulds D. Felodipine. A review of the pharmacology and therapeutic use of the extended release formulation in cardiovascular disorders. Drugs. 1992; 44: 251-77.[PMID: 1382018] / Videbaek LM, Jacobsen IA. Crossover comparison of the pharmacokinetics of amlodipine and felodipine ER in hypertensive patients. Int J Clin Pharmacol Ther. 1997; 35: 514-8. [PMID: 9401833]",May increase digoxin levels.
86,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Calcium-Channel Blockers," Headache, edema, flushing, dizziness.",Isradipine,<5,8/10-11,97,3-4,,,,2.5-5 mg q12-24h,,,2.5-5 mg q12-24h,100% [A],100% [A],100% [A],100% [A],IHD: None ,PD: None,"CRRT: Dose for GFR 10-50,titrate, [D]","Brogden RN, Sorkin EM. Isradipine. An update of its pharmacodynamic and pharmacokinetic properties and therapeutic efficacy in the treatment of mild to moderate hypertension. Drugs. 1995; 49: 618-49. [PMID: 7789292] / Chandler MH, Schran HF, Cutler RE, Smith AJ, Gonasun LM, Blouin RA. The effects of renal function on the disposition of isradipine. J Clin Pharmacol. 1988; 28: 1076-80. [PMID: 2977394] / Fitton A, Benfield P. Isradipine. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic use in cardiovascular disease. Drugs. 1990; 40: 31-74.[PMID: 2143980]",May increase digoxin levels. Bioavailability is increased in patients with impaired renal function.
87,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Calcium-Channel Blockers," Headache, edema, flushing, dizziness.",Nicardipine,<1,1.3-5/5-7,98-99,0.8-1.4,,,,20-40 mg PO tid,,,20-40 mg PO tid,100% [D],100% [D],100% [D],100% [D],"IHD: None, [D]","PD: None, [D]","CRRT: Dose for GFR 10-50,titrate, [D]","Ahmed JH, Grant AC, Rodger RS, Murray GR, Elliott HL. Inhibitory effect of uraemia on the hepatic clearance and metabolism of nicardipine. Br J Clin Pharmacol. 1991; 32: 57-62. [PMID: 1888642] / Sorkin EM, Clissold SP. Nicardipine. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy, in the treatment of angina pectoris, hypertension and related cardiovascular disorders. Drugs. 1987; 33: 296-345. [PMID: 3297616]","Uremia inhibits hepatic metabolism of nicardipine. Patients with renal failure may respond at lower doses or accumulate drug. May increase digoxin levels. For IV use, initiate at 5 mg/hr; increase by 2.5 mg/hr every 15 minutes up to a maximum of 15 mg/hr."
88,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Calcium-Channel Blockers," Headache, edema, flushing, dizziness.",Nifedipine ,<5,2/5-7,97,1.4,,,,10-30 mg q8h,,,10-30 mg q8h,100% [A],100% [A],100% [A],100% [A],"IHD: No dose adjustment, [A]","PD: No dose adjustment,[A]","CRRT: Dose for GFR 10-50,titrate, [D]","Grundy JS, Foster RT. The nifedipine gastrointestinal therapeutic system (GITS). Evaluation of pharmaceutical, pharmacokinetic and pharmacological properties. Clin Pharmacokinet. 1996; 30: 28-51. [PMID: 8846626] / Kleinbloesem CH, van Brummelen P, Woittiez AJ, Faber H, Breimer DD. Influence of haemodialysis on the pharmacokinetics and haemodynamic effects of nifedipine during continuous intravenous infusion. Clin Pharmacokinet. 1986; 11: 316-22. [PMID: 3757391] / Sorkin EM, Clissold SP, Brogden RN. Nifedipine. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy, in ischaemic heart disease, hypertension and related cardiovascular disorders. Drugs. 1985; 30: 182-274. [PMID: 2412780]",Acute renal dysfunction. Protein binding decreased in ESRD. May increase digoxin levels. Data are for nifedipine immediate release. Sustained-release doses are 30-90 mg once daily. 
89,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Calcium-Channel Blockers," Headache, edema, flushing, dizziness.",Nimodipine,<10,1.0-2.8/22,98,0.9-2.3,,,,30 mg q8h,,D,30 mg q8h,100% [D],100% [D],100% [D],100% [D],IHD: None ,PD: None,"CRRT: Dose for GFR 10-50,titrate, [D]","Langley MS, Sorkin EM. Nimodipine. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic potential in cerebrovascular disease. Drugs. 1989; 37: 669-99. [PMID: 2663415]",May lower blood pressure.
90,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Calcium-Channel Blockers," Headache, edema, flushing, dizziness.",Nisoldipine,<10,6.6-7.9/6.8-9.7,99,2.3-7.1,,,,10 mg q24h ,Second Dose: 10-40 mg q24h,,10 mg q24h ,100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [A]","CRRT: Dose for GFR 10-50,titrate, [D]","Boelaert J, Valcke Y, Dammekens H, De Vriese G, Ahr G, Schurgers M, et al. Pharmacokinetics of nisoldipine in renal dysfunction. Eur J Clin Pharmacol. 1988; 34: 207-9. [PMID: 3383992] / Mitchell J, Frishman W, Heiman M. Nisoldipine: a new dihydropyridine calcium-channel blocker. J Clin Pharmacol. 1993; 33: 46-52. [PMID: 8429113] / Shionoiri H, Minamisawa K, Masumori S, Satta H, Minamisawa M, Takizawa T, et al. Pharmacokinetics and pharmacodynamics of nisoldipine in hypertensive patients with normal and mild to moderate impaired renal function. Arzneimittelforschung. 1995; 45: 785-9. [PMID: 8573223]",May increase digoxin levels.
91,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Calcium-Channel Blockers," Headache, edema, flushing, dizziness.",Verapamil,<3,3-7/2.4-4.0,83-93,3-7.1,,,,180-480 mg q24h (sustained release),,,180-480 mg q24h (sustained release),100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [A]","CRRT: Dose for GFR 10-50, titrate, [B]","Beyerlein C, Csaszar G, Hollmann M, Schumacher A. Verapamil in antihypertensive treatment of patients on renal replacement therapy&#151; clinical implications and pharmacokinetics. Eur J Clin Pharmacol. 1990; 39 Suppl 1: S35-7. [PMID: 2261942] / Brogden RN, Benfield P. Verapamil: a review of its pharmacological properties and therapeutic use in coronary artery disease. Drugs. 1996; 51: 792-819. [PMID: 8861548] / Keefe DL, Yee YG, Kates RE. Verapamil protein binding in patients and in normal subjects. Clin Pharmacol Ther. 1981; 29: 21-6. [PMID: 6970111] / Pritza DR, Bierman MH, Hammeke MD. Acute toxic effects of sustained-release verapamil in chronic renal failure. Arch Intern Med. 1991; 151: 2081-4. [PMID: 1843183] / Shah GM, Winer RL. Verapamil kinetics during maintenance hemodialysis. Am J Nephrol. 1985; 5: 338-41. [PMID: 4061502] / Storstein L, Larsen A, Midtb&#248; K, Saevareid L. Pharmacokinetics of calcium blockers in patients with renal insufficiency and in geriatric patients. Acta Med Scand Suppl. 1984; 681: 25-30. [PMID: 6587753]","Acute renal dysfunction. Active metabolites accumulate, particularly with sustained-release forms. May increase digoxin and cyclosporine levels."
92,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Cardiac Glycosides, Add to uremic gastrointestinal symptoms. Toxicity enhanced by hypokalemia and hypomagnesemia during dialysis.,Digitoxin,20-25,144-200/210,94,0.6,,,,0.1-0.2 mg q24h,,D,0.1-0.2 mg q24h,100% [A],100% [A],100% [A],50-75% [A],IHD: None ,PD: None,"CRRT: Dose for GFR 10-50,monitor serum concentration, [D]","Kelly RA, Smith TW. Use and misuse of digitalis blood levels. Heart Dis Stroke. 1992; 1: 117-22. [PMID: 1344095] / V&#246; hringer HF, Rietbrock N. Digitalis therapy in renal failure with special regard to digitoxin. Int J Clin Pharmacol Ther Toxicol. 1981; 19: 175-84. [PMID: 7021432]",Increased conversion to digoxin in ESRD (8-10% conversion in normals). Vd decreased by uremia.
93,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Cardiac Glycosides, Add to uremic gastrointestinal symptoms. Toxicity enhanced by hypokalemia and hypomagnesemia during dialysis.,Digoxin,76-85,36-44/80-120,20-30,5-8,,,,"1.0-1.5 mg load, then 0.25-0.5 mg q24h",,"D, I","1.0-1.5 mg load, then 0.25-0.5 mg q24h",100% q24h [A],25-75% q36h [A],25-75% q36h [A],10-25% q48h [A],IHD: None ,PD: None,"CRRT: Dose for GFR 10-50,monitor serum concentration, [D]","Sonnenblick M, Abraham AS, Meshulam Z, Eylath U. Correlation between manifestations of digoxin toxicity and serum digoxin, calcium, potassium, and magnesium concentrations and arterial pH. Br Med J (Clin Res Ed). 1983; 286: 1089-91. [PMID: 6404339]","Decrease loading dose by 50% in ESRD. Radioimmunoassay may overestimate serum levels in uremia. Clearance decreased by amiodarone, spironolactone, quinidine, verapamil. Hypokalemia, hypomagnesemia enhance toxicity. Vd and total body clearance decreased in ESRD. Serum level after 12 dose hours is best guide in ESRD. Digoxin immune antibodies can treat severe toxicity in ESRD."
94,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Cardiac Glycosides, Add to uremic gastrointestinal symptoms. Toxicity enhanced by hypokalemia and hypomagnesemia during dialysis.,Ouabain,40-50,21/60-70,40,No data,,,,"0.25 mg load, then 0.1 mg q12h",,I,"0.25 mg load, then 0.1 mg q12h",q12-24h [A],q24-36h [A],q24-36h [A],q36-48h [A],IHD: None ,PD: None,"CRRT: Dose for GFR 10-50, [D]","Ochs HR, Greenblatt DJ, Bodem G, Dengler HJ. Disease-related alterations in cardiac glycoside disposition. Clin Pharmacokinet. 1982; 7: 434-51. [PMID: 6754209]",
95,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Acetazolamide,100,1.7-5.8/No data,70-90,0.2,,,,250 mg q6-12h,,I,250 mg q6-12h,q6h [A],q12h [A],q12h [A],Avoid [A],IHD: No data,PD: No dat,"CRRT: Dose for GFR 10-50, [D]","Chapron DJ, Gomolin IH, Sweeney KR. Acetazolamide blood concentrations are excessive in the elderly: propensity for acidosis and relationship to renal function. J Clin Pharmacol. 1989; 29: 348-53. [PMID: 2498399] / Roy LF, Dufresne LR, Legault L, Long H, Morin C. Acetazolamide in hemodialysis patients: a rational use after ocular surgery. Am J Kidney Dis. 1992; 20: 650-2. [PMID: 1462998] / Schwenk MH, St Peter WL, Meese MG, Singhal PC. Acetazolamide toxicity and pharmacokinetics in patients receiving hemodialysis. Pharmacotherapy. 1995; 15: 522-7. [PMID: 7479208]",May potentiate acidosis. Ineffective as diuretic in ESRD. May cause neurologic side effects in dialysis patients.
96,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Amiloride,50,6-21/10-144,30-40,5.0-5.2,,,,5.0 mg q24h,,D,5.0 mg q24h,100% [A],50% [A],50% [A],Avoid [A],"IHD: Avoid, [D]","PD: Avoid, [D]","CRRT: Not applicable, [D]","George CF. Amiloride handling in renal failure. Br J Clin Pharmacol. 1980; 9: 94-5. [PMID: 7356897] / Spahn H, Reuter K, Mutschler E, Gerok W, Knauf H. Pharmacokinetics of amiloride in renal and hepatic disease. Eur J Clin Pharmacol. 1987; 33: 493-8. [PMID: 3428342]","Hyperkalemia with GFR <30 mL/min, especially in diabetics. Hyperchloremic metabolic acidosis."
97,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Bumetanide,33,1.2-1.5/1.5,96,0.2-0.5,,,,1-2 mg q8-12h,,D,1-2 mg q8-12h,100% [A],100% [A],100% [A],100% [A],IHD: None ,PD: None,"CRRT: Not applicable, [D]","Lau HS, Hyneck ML, Berardi RR, Swartz RD, Smith DE. Kinetics, dynamics, and bioavailability of bumetanide in healthy subjects and patients with chronic renal failure. Clin Pharmacol Ther. 1986; 39: 635-45. [PMID: 3709028] / Pentik&#246; inen PJ, Pasternack A, Lampainen E, Neuvonen PJ, Penttil&#246; A. Bumetanide kinetics in renal failure. Clin Pharmacol Ther. 1985; 37: 582-8. [PMID: 3987182] / Ward A, Heel RC. Bumetanide. A review of its pharmacodynamic and pharmacokinetic properties and therapeutic use. Drugs. 1984; 28: 426-64. [PMID: 6391889]",Ototoxicity increased in ESRD in combination with aminoglycosides. High doses effective in ESRD. Muscle pain; gynecomastia.
98,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Chlorothiazide,96,0.75-2/No data,No data,No data,,,,"500-1,000 mg q12-24h",,,"500-1,000 mg q12-24h",100% [D],100% [D],100% [D],Ineffective [D],"IHD: Not applicable, [D]","PD: Not applicable, [D]","CRRT: Not applicable, [D]","Williams RL, Davies RO, Berman RS, Holmes GI, Huber P, Gee WL, et al. Hydrochlorothiazide pharmacokinetics and pharmacologic effect: the influence of indomethacin. J Clin Pharmacol. 1982; 22: 32-41. [PMID: 7061724]",Usually ineffective with GFR <30 mL/min. Effective at low GFR in combination with loop diuretic.
99,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Chlorthalidone ,50,44-80/Unknown,76-90,3.9,,,,25 mg q24h,,I,25 mg q24h,q24h [D],q24h [D],q24h [D],Avoid [D],IHD: Not applicable,PD: Not applicabl,"CRRT: Not applicable, [D]","Mulley BA, Parr GD, Rye RM. Pharmacokinetics of chlorthalidone. Dependence of biological half life on blood carbonic anhydrase levels. Eur J Clin Pharmacol. 1980; 17: 203-7. [PMID: 6767611]",Ineffective with low GFR. 
100,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Ethacrynic acid,20,2-4/No data,90,0.1,,,,50-100 mg tid,,I,50-100 mg tid,q8-12h [B],q8-12h [B],q8-12h [B],Avoid [B],IHD: None ,PD: None,"CRRT: Not applicable, [D]","Pillay VK, Schwartz FD, Aimi K, Kark RM. Transient and permanent deafness following treatment with ethacrynic acid in renal failure. Lancet. 1969; 1: 77-9. [PMID: 4178003]",Ototoxicity increased in ESRD in combination with aminoglycosides.
101,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Furosemide,50-80,0.5-2.1/2-4,95,0.07-0.2,,,,20-300 mg q12-24h,,,20-300 mg q12-24h,100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [A]","CRRT: Not applicable, [D]","Ponto LL, Schoenwald RD. Furosemide (frusemide). A pharmacokinetic/pharmaco-dynamic review (Part I). Clin Pharmacokinet. 1990; 18: 381-408. [PMID: 2185908] / Traeger A, Stein G, Sperschneider H, Keil E. Pharmacokinetic and pharmacodynamic effects of furosemide in patients with impaired renal function. Int J Clin Pharmacol Ther Toxicol. 1984; 22: 481-6. [PMID: 6500766]","Ototoxicity increased in ESRD, especially in combination with aminoglycosides. High doses effective in ESRD."
102,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Hydrochlorothiazide,90,<5.6-14.8/No data,65,No data,,,,6.25-200 mg q24h,,,6.25-200 mg q24h,100% [A],100% [A],100% [A],Ineffective [A],"IHD: Not applicable, [D]","PD: Not applicable, [D]","CRRT: Not applicable, [D]","Seyffart G. Drug Dosage in Renal Insufficiency. Dordrecht, The Netherlands: Kluwer Academic; 1991.",Usually ineffective with GFR <30 mL/min. Effective at low GFR in combination with loop diuretic.
103,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Hydroflumethiazide,55-65,17/ No data,75,No data,,,,25-200 mg q24h,,,25-200 mg q24h,100% [D],100% [D],100% [D],Ineffective [D],IHD: Not applicable,PD: Not applicabl,"CRRT: Not applicable, [D]","Br&#248; rs O. Pharmacokinetics of hydroflumethiazide during repeated administration in congestive heart failure. Acta Pharmacol Toxicol (Copenh). 1982; 51: 177-81. [PMID: 7136723] / Br&#248; rs O, Jacobsen S. Distribution of elimination of hydroflumethiazide in man. Eur J Clin Pharmacol. 1979; 16: 125-31. [PMID: 499309] / Yakatan GJ, Smith RB, Frome EL, Doluisio JT. Pharmacokinetics of orally administered hydroflumethiazide in man. J Clin Pharmacol. 1977; 17: 37-47. [PMID: 833338]",Usually ineffective with GFR <30 mL/min. Effective at low GFR in combination with loop diuretic.
104,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Indapamide,7,14-18/Unchanged,76-79,0.3-1.3,,,,1.25 mg q24h ,Second Dose: 1.25-5 mg q24h,D,1.25 mg q24h ,100% [A],100% [A],100% [A],Ineffective [A],"IHD: Ineffective, [D]","PD: Ineffective, [D]","CRRT: Not applicable, [D]","Chaffman M, Heel RC, Brogden RN, Speight TM, Avery GS. Indapamide. A review of its pharmacodynamic properties and therapeutic efficacy in hypertension. Drugs. 1984; 28: 189-235. [PMID: 6489195] / Madkour H, Ali K, Nosrati S, Massry SG. Efficacious response with low-dose indapamide therapy in the treatment of type II diabetic patients with normal renal function or moderate renal insufficiency and moderate hypertension. Am J Nephrol. 2002; 22: 2-5. [PMID: 11919395] / Urien S, Morin D, d&#146; Athis P, Coulomb B, Tillement JP. Serum binding of indapamide in health and disease: primary role of alpha 1-acid glycoprotein. J Clin Pharmacol. 1988; 28: 458-62. [PMID: 3392244]",Usually ineffective when GFR <30 mL/min. Ineffective in ESRD. Effective in treatment of moderate hypertension in patients with moderate renal insufficiency.
105,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Metolazone,70,4-20/No data,95,1.6,,,,5-20mg q24h,,D,5-20mg q24h,100% [A],100% [A],100% [A],100% [D],"IHD: None, [D]","PD: None, [D]","CRRT: Not applicable, [D]","Tilstone WJ, Dargie H, Dargie EN, Morgan HG, Kennedy AC. Pharmacokinetics of metolazone in normal subjects and in patients with cardiac or renal failure. Clin Pharmacol Ther. 1974; 16: 322-9. [PMID: 4853601]","High doses effective in ESRD. Gynecomastia, impotence."
106,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Piretanide,40-60,1.4/1.6-3.4,94,0.3,,,,6-12 mg q24h,,D,6-12 mg q24h,100% [A],100% [A],100% [A],100% [A],IHD: None ,PD: None,"CRRT: Not applicable, [D]","Clissold SP, Brogden RN. Piretanide. A preliminary review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy. Drugs. 1985; 29: 489-530. [PMID: 3891305] / Marsh JD, Smith TW. Piretanide: a loop-active diuretic. Pharmacology, therapeutic efficacy and adverse effects. Pharmacotherapy. 1984; 4: 170-80. [PMID: 6384944] / Walter U, R&#246; ckel A, Lahn W, Heidland A, Heptner W. Pharmacokinetics of the loop diuretic piretanide in renal failure. Eur J Clin Pharmacol. 1985; 29: 337-43. [PMID: 4076330]",High doses effective in ESRD. Ototoxicity.
107,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Polythiazide,25,26/No data,84,No data,,,,1-4 mg q24h,,D,1-4 mg q24h,100% [A],100% [D],100% [D],Ineffective [D],"IHD: Ineffective, [D]","PD: Ineffective, [D]","CRRT: Not applicable, [D]","Seyffart G. Drug Dosage in Renal Insufficiency. Dordrecht, The Netherlands: Kluwer Academic; 1991.",Usually ineffective when GFR <30 mL/min.
108,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Spironolactone,20-30,10-35/Unchanged,98,No data,,,,25 mg tid-qid,,I,25 mg tid-qid,q6-12h [D],q12-24h [D],q12-24h [D],Avoid [D],IHD: Not applicable,PD: Not applicabl,"CRRT: Avoid, [D]","Morris RG, Frewin DB, Taylor WB, Glistak ML, Lehmann DR. The effect of renal and hepatic impairment and of spironolactone on digoxin immunoassays. Eur J Clin Pharmacol. 1988; 34: 233-9. [PMID: 3396618] / Skluth HA, Gums JG. Spironolactone: a re-examination. DICP. 1990; 24: 52-9. [PMID: 2405587]","Active metabolites with long half-life. Hyperkalemia common when GFR <30 mL/min, especially in diabetics. Gynecomastia, hyperchloremic acidosis. Increases serum by immunoassay interference."
109,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Thiazides,>95,6-8/12-20,40,3.0,,,,25-50 mg bid,,D,25-50 mg bid,100% [A],100% [A],100% [A],Avoid [A],IHD: Not applicable,PD: Not applicabl,"CRRT: Not applicable, [D]","Niemeyer C, Hasenfuss G, Wais U, Knauf H, Sch&#246; fer-Korting M, Mutschler E. Pharmacokinetics of hydrochlorothiazide in relation to renal function. Eur J Clin Pharmacol. 1983; 24: 661-5. [PMID: 6873147]",Usually ineffective when GFR <30 mL/min. Effective at low GFR in combination with loop diuretic. Hyperuricemia.
110,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Torsemide,25,2-4/4-5,97-99,0.14-0.19,,,,5-100 mg q12-24h,,,5-100 mg q12-24h,100% [A],100% [A],100% [A],100% [A],"IHD: None, [A] ","PD: None, [D]","CRRT: Not applicable, [D]","Dodion L, Willems JL. Study of the elimination kinetics of torasemide, a novel loop diuretic, in renal insufficiency. Eur J Clin Pharmacol. 1986; 31 Suppl: 49-51. [PMID: 3780839] / Dunn CJ, Fitton A, Brogden RN. Torasemide. An update of its pharmacological properties and therapeutic efficacy. Drugs. 1995; 49: 121-42. [PMID: 7705212] / Friedel HA, Buckley MM. Torasemide. A review of its pharmacological properties and therapeutic potential. Drugs. 1991; 41: 81-103. [PMID: 1706990] / Gehr TW, Rudy DW, Matzke GR, Kramer WG, Sica DA, Brater DC. The pharmacokinetics of intravenous and oral torsemide in patients with chronic renal insufficiency. Clin Pharmacol Ther. 1994; 56: 31-8. [PMID: 8033492] / Kr&#246; mer BK, Schwab A, Braun N, Strutz F, M&#252; ller GA, Risler T. Pharmacokinetics of torasemide and its metabolites in end-stage renal disease. Eur J Clin Pharmacol. 1994; 47: 157-9. [PMID: 7859803] / Loute G, Adam A, Ers P, Heremans C, Willems B. The influence of haemodialysis and haemofiltration on the clearance of torasemide in renal failure. Eur J Clin Pharmacol. 1986; 31 Suppl: 53-5. [PMID: 3780840]",High doses effective in ESRD. Ototoxicity.
111,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Diuretics, Natriuretic drugs may cause extracellular fluid volume depletion.,Triamterene,20,2-12/10,55-81,2.2-3.7,,,,25-150 mg q12-24h,,I,25-150 mg q12-24h,q12h [A],Avoid [D],Avoid [D],Avoid [D],"IHD: Not applicable, [D]","PD: Not applicable, [D]",CRRT: Avoid,"Fairley KF, Woo KT, Birch DF, Leaker BR, Ratnaike S. Triamterene-induced crystalluria and cylinduria: clinical and experimental studies. Clin Nephrol. 1986; 26: 169-73. [PMID: 3780069] / Seyffart G. Drug Dosage in Renal Insufficiency. Dordrecht, The Netherlands: Kluwer Academic; 1991. / Triamterene and the kidney [Editorial]. Lancet. 1986; 1: 424. [PMID: 2868346]","Hyperkalemia common when GFR <30 mL/min, especially in diabetics. Active metabolite with long half-life in ESRD. Folic acid antagonist. Urolithiasis. Crystalluria in acid urine. May cause acute renal failure."
112,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Miscellaneous Cardiac Drugs,,Amrinone,10-40,2.6-8.3/No data,20-40,1.3-1.6,,,,5-10 &#181;g/kg/min ,Second Dose: daily dose <10 mg/kg ,D,5-10 &#181;g/kg/min ,100% [D],100% [D],100% [D],50-75% [D],IHD: No data,PD: No dat,"CRRT: Dose for GFR 10-50,titrate, [B]","Bottorff MB, Rutledge DR, Pieper JA. Evaluation of intravenous amrinone: the first of a new class of positive inotropic agents with vasodilator properties. Pharmacotherapy. 1985; 5: 227-37. [PMID: 3906583] / Lawless S, Restaino I, Azin S, Corddry D. Effect of continuous arteriovenous haemo-filtration on pharmacokinetics of amrinone. Clin Pharmacokinet. 1993; 25: 80-2. [PMID: 8354019]","Thrombocytopenia. Nausea, vomiting in ESRD."
113,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Miscellaneous Cardiac Drugs,,Dobutamine,<10,2 min/No data,No data,0.25,,,,2.5-15 &#181;g/kg/min,,D,2.5-15 &#181;g/kg/min,100% [D],100% [D],100% [D],100% [D],IHD: No data,PD: No dat,"CRRT: Dose for GFR 10-50,titrate, [D]","Lawless CE, Loeb HS. Pharmacokinetics and pharmacodynamics of dobutamine. In: Chatterjee ED, ed. Dobutamine. New York: NCM Publishers; 1989: 33-47. / Majerus TC, Dasta JF, Bauman JL, Danziger LH, Ruffolo RR Jr. Dobutamine: ten years later. Pharmacotherapy. 1989; 9: 245-59. [PMID: 2671957]",
114,Antihypertensive and Cardiovascular Agents,Cardiovascular Agents,Miscellaneous Cardiac Drugs,,Epoprostenol,<5,2.7 min/No data,No data,0.357,,,,2 ng/kg/min infusion ,Second Dose: 2-12 ng/kg/min ,,2 ng/kg/min infusion ,100% [D],100% [D],100% [D],100% [D],"IHD: None, [D]","PD: None, [D]","CRRT: 0.5 to 12 ng/kg/min,titrate, [B]","Hildebrand M. Inter-species extrapolation of pharmacokinetic data of three prostacyclin-mimetics. Prostaglandins. 1994; 48: 297-312. [PMID: 7531864] / Smith MC, Danviriyasup K, Crow JW, Cato AE, Park GD, Hassid A, et al. Prostacyclin substitution for heparin in long-term hemodialysis. Am J Med. 1982; 73: 669-78. [PMID: 6753575] / Swartz RD, Flamenbaum W, Dubrow A, Hall JC, Crow JW, Cato A. Epoprostenol (PGI2, prostacyclin) during high-risk hemodialysis: preventing further bleeding complications. J Clin Pharmacol. 1988; 28: 818-25. [PMID: 3068260]",No available chemical assay is sufficiently sensitive and specific to assess the in vivo human pharmacokinetics of epoprostenol. Data are for animal studies.
